index,prompt,completion,qty,range_end,unit,comment
0,"1 1/4 cups cooked and pureed fresh butternut squash, or 1 10-ounce package frozen squash, defrosted",butternut squash,1.25,0.0,cup,"cooked and pureed fresh, or 1 10-ounce package frozen squash, defrosted"
1,"1 cup peeled and cooked fresh chestnuts (about 20), or 1 cup canned, unsweetened chestnuts",chestnuts,1.0,0.0,cup,"peeled and cooked fresh (about 20), or 1 cup canned, unsweetened"
2,"1 medium-size onion, peeled and chopped",onion,1.0,0.0,,"medium-size, peeled and chopped"
3,"2 stalks celery, chopped coarse",celery,2.0,0.0,stalk,chopped coarse
4,1 1/2 tablespoons vegetable oil,vegetable oil,1.5,0.0,tablespoon,
5,,water,0.5,0.0,cup,
6,"2 tablespoons unflavored gelatin, dissolved in 1/2 cup water",gelatin,2.0,0.0,tablespoon,"unflavored, dissolved in 1/2 cup water"
7,Salt,Salt,0.0,0.0,,
8,1 cup canned plum tomatoes with juice,plum tomatoes,1.0,0.0,cup,"canned, with juice"
9,6 cups veal or beef stock,stock,6.0,0.0,cup,veal or beef
10,1/3 cup Worcestershire sauce,Worcestershire sauce,0.33,0.0,cup,
11,1 tablespoon Louisiana hot sauce,Louisiana hot sauce,1.0,0.0,tablespoon,
12,1/2 teaspoon hot red pepper flakes,hot red pepper flakes,0.5,0.0,teaspoon,
13,4 bay leaves,bay leaves,4.0,0.0,,
14,"6 cloves garlic, crushed and chopped",garlic,6.0,0.0,clove,crushed and chopped
15,"2 carrots, peeled and diced",carrots,2.0,0.0,,peeled and diced
16,"2 medium onions, diced",onions,2.0,0.0,,"medium, diced"
17,6 tablespoons butter,butter,6.0,0.0,tablespoon,
18,"1 tablespoon Creole seasoning, or other seasonings of your choice",Creole seasoning,1.0,0.0,tablespoon,or other seasonings of your choice
19,3 pounds beef brisket,beef brisket,3.0,0.0,pound,
20,1/2 cup fine dry bread crumbs,bread crumbs,0.5,0.0,cup,fine dry
21,Freshly ground black pepper,black pepper,0.0,0.0,,Freshly ground
22,12 oysters and their liquor,oysters and their liquor,12.0,0.0,,
23,3 tablespoons minced scallions,scallions,3.0,0.0,tablespoon,minced
24,1 tablespoon flour,flour,1.0,0.0,tablespoon,
25,"6 ounces button mushrooms, thinly sliced then coarsely chopped",button mushrooms,6.0,0.0,ounce,thinly sliced then coarsely chopped
26,13 tablespoons butter,butter,13.0,0.0,tablespoon,
27,"4 large artichokes, trimmed",artichokes,4.0,0.0,,"large, trimmed"
28,Juice of 1 lemon,lemon,1.0,0.0,,Juice of
29,Salt,Salt,0.0,0.0,,
30,Confectioners' sugar,Confectioners' sugar,0.0,0.0,,
31,1/4 teaspoon vanilla extract,vanilla extract,0.25,0.0,teaspoon,
32,2 large eggs,eggs,2.0,0.0,,large
33,Pinch of freshly grated nutmeg,nutmeg,1.0,0.0,pinch,freshly grated
34,2 teaspoons baking powder,baking powder,2.0,0.0,teaspoon,
35,1/4 teaspoon salt,salt,0.25,0.0,teaspoon,
36,1/4 cup sugar,sugar,0.25,0.0,cup,
37,6 tablespoons flour,flour,6.0,0.0,tablespoon,
38,2 cups cooked medium- or long-grain white rice,white rice,2.0,0.0,cup,cooked medium- or long-grain
39,"Vegetable oil, for deep-frying",Vegetable oil,0.0,0.0,,for deep-frying
40,pound elbow macaroni,elbow macaroni,0.0,0.0,pound,
41,Freshly ground black pepper,black pepper,0.0,0.0,,Freshly ground
